분류,이름,설명,가격,위치
아이템,강철검,최고급 강철로 제작된 튼튼한 검,50 금화,대장장이의 가게
아이템,체력 물약,50의 체력을 회복시키는 붉은 물약,20 금화,연금술사의 탑
아이템,마법 두루마리,기본 화염구 주문이 적힌 두루마리,100 금화,마법사의 시장
아이템,강철검,최고급 강철로 제작된 튼튼한 검,50,대장장이의 가게
아이템,체력 물약,50의 체력을 회복시키는 붉은 물약,20,연금술사의 탑
아이템,마법 두루마리,기본 화염구 주문이 적힌 두루마리,100,마법사의 시장
아이템,미스릴 갑옷,가볍고 강한 엘프 제작 갑옷,500,엘프의 대장간
아이템,신속의 장화,착용자의 이동 속도를 높이는 마법 부츠,200,마법사의 시장
아이템,용의 비늘 방패,드래곤 비늘로 만든 내열성 방패,300,드래곤 사냥꾼의 가게
아이템,냉기의 지팡이,얼음 마법을 강화하는 마법 지팡이,400,마법사의 탑
아이템,독 해독제,모든 종류의 독을 치료하는 물약,30,연금술사의 탑
아이템,투명 망토,착용자를 잠시 투명하게 만드는 망토,1000,비밀 상인
아이템,화염의 검,불꽃이 타오르는 마법 검,600,마법 대장간
아이템,정확성의 활,화살의 정확도를 높이는 엘프의 활,450,엘프의 숲
아이템,비전 안경,마법 문서를 해독하는 데 도움을 주는 안경,150,마법사의 시장
아이템,생명의 씨앗,죽은 식물을 되살리는 마법의 씨앗,80,드루이드의 오두막
아이템,번개 마법봉,번개 속성 마법을 강화하는 마법봉,550,마법사의 탑
아이템,돌격의 망치,드워프가 만든 강력한 전투용 망치,380,드워프의 광산
아이템,순간이동 반지,짧은 거리를 순간이동할 수 있는 반지,800,차원 여행사의 상점
아이템,불사조의 깃털,한 번의 부활 기회를 주는 희귀한 깃털,2000,신비한 숲 깊은 곳
아이템,용기의 목걸이,착용자의 공포 저항력을 높이는 목걸이,250,영웅의 전당
아이템,대지의 장갑,땅의 힘을 다루는 마법 장갑,420,대지의 정령사
아이템,밤의 망토,어둠 속에서 착용자를 숨겨주는 망토,350,그림자 길드
아이템,치유의 지팡이,강력한 회복 마법을 시전하는 지팡이,750,성스러운 숲
아이템,바람의 부츠,착용자를 바람처럼 빠르게 만드는 부츠,680,하늘 섬
아이템,지혜의 책,읽는 이에게 지식을 전해주는 마법서,1200,고대 도서관
아이템,광폭의 도끼,사용할수록 강해지는 저주받은 도끼,820,오크 전사의 무덤
아이템,물의 구슬,무한한 물을 만들어내는 신비한 구슬,540,인어의 동굴
아이템,햇살의 방패,빛의 힘으로 적의 공격을 막는 방패,630,태양 신전
아이템,그림자 단검,어둠 속에서 위력을 발휘하는 암살용 단검,480,암살자 길드
아이템,폭풍의 활,화살에 폭풍의 힘을 실어주는 활,920,폭풍의 봉우리
아이템,생명의 반지,착용자의 생명력을 지속적으로 회복시키는 반지,1500,생명의 나무
아이템,용의 심장,착용자에게 드래곤의 힘을 부여하는 목걸이,3000,용의 둥지
아이템,시간의 모래시계,시간을 잠시 멈추는 신비한 모래시계,2500,시간의 신전
아이템,화산의 망치,타격 시 폭발을 일으키는 드워프 제작 망치,1800,화산 폐허
아이템,얼음 칼날,적을 얼려버리는 차가운 검,780,얼음 성채
아이템,마법 증폭 반지,모든 마법의 위력을 높이는 반지,1100,마법사의 탑
아이템,황금 갑옷,놀라운 방어력을 지닌 황금 갑옷,2200,드워프의 비밀 금고
아이템,영혼의 랜턴,유령을 볼 수 있게 해주는 신비한 랜턴,650,유령 마을
아이템,성스러운 망치,언데드에게 강력한 타격을 주는 망치,890,대성당
아이템,독의 단검,치명적인 독을 발라놓은 암살용 단검,720,암살자 길드
아이템,바다의 삼지창,물 속에서 강력한 힘을 발휘하는 무기,1050,해저 궁전
아이템,불의 장갑,착용자의 손에서 화염을 내뿜는 장갑,980,화산의 심장
아이템,천리안 망원경,먼 곳을 볼 수 있는 마법의 망원경,340,하늘 섬
아이템,마법 봉인의 주문서,강력한 마법을 봉인하는 주문이 적힌 두루마리,1600,고대 도서관
아이템,영웅의 방패,전설적인 영웅이 사용했던 방패,2800,영웅의 무덤
아이템,도깨비 방망이,원하는 것을 만들어내는 신비한 방망이,4000,도깨비 굴
아이템,현자의 지팡이,모든 속성의 마법을 다룰 수 있는 지팡이,3500,현자의 은신처
아이템,용암 갑옷,착용자를 극한의 열기로부터 보호하는 갑옷,1700,화산 폐허
아이템,얼음의 왕관,주변을 얼려버리는 차가운 힘을 가진 왕관,2100,얼음 성채
아이템,번개의 창,번개의 힘을 실어 던질 수 있는 창,1400,폭풍의 봉우리
아이템,숲의 보석,자연의 생명력을 담고 있는 신비한 보석,1900,엘프의 숲
아이템,암흑의 가면,어둠 속에서 완벽한 은신을 제공하는 가면,1300,그림자 길드
아이템,마법 봉인 상자,어떤 마법도 통하지 않는 봉인 상자,2600,마법사의 탑
아이템,용사의 검,빛나는 성검으로 악의 존재를 물리치는 전설의 무기,5000,빛의 신전
아이템,요정의 날개,착용자를 잠시 동안 날 수 있게 해주는 날개,2300,요정의 숲
아이템,해적의 나침반,숨겨진 보물을 찾아주는 신비한 나침반,1150,해적선
아이템,빛의 갑옷,신성한 빛의 힘으로 악의 공격을 막아내는 갑옷,2400,천사의 성소
아이템,저주받은 인형,적에게 저주를 걸 수 있는 으스스한 인형,950,저주받은 숲
아이템,풍요의 뿔피리,연주하면 주변에 풍요를 가져다주는 뿔피리,1750,숨겨진 오아시스
아이템,화염의 홀,강력한 화염 공격을 할 수 있는 마법사의 홀,2050,불의 신전
아이템,얼음 화살,적을 얼려버리는 마법의 화살,60,얼음 성채
아이템,회복의 팔찌,착용자의 상처를 지속적으로 치유하는 팔찌,850,생명의 샘
아이템,바람의 피리,바람을 부르는 신비한 피리,700,하늘 섬
아이템,미러 실드,마법 공격을 반사하는 특수한 방패,1850,거울의 미로
아이템,괴력의 장갑,착용자에게 초인적인 힘을 부여하는 장갑,1650,거인의 동굴
아이템,축복받은 로브,모든 신성 마법의 효과를 높여주는 로브,2150,천상의 도서관
아이템,영혼의 검,적의 영혼을 흡수하여 강해지는 검,2750,망자의 계곡
아이템,술사의 부적,모든 속성 저항력을 높여주는 부적,1550,속성의 신전
아이템,돌의 심장,착용자를 돌로 변하게 하여 방어력을 극대화하는 펜던트,2350,암석 거인의 동굴
아이템,미스릴 창,가벼우면서도 강력한 미스릴로 만든 창,2250,드워프의 비밀 대장간
아이템,마법 저항의 망토,모든 마법 공격에 대한 저항력을 높이는 망토,1950,마법 수호자의 성소
아이템,황금 활,화살이 적을 유도 추적하는 신비한 활,2550,태양 신전
아이템,수정 구슬,미래를 예지할 수 있는 신비한 구슬,3200,예언자의 탑
아이템,대지의 방패,대지의 힘으로 사용자를 보호하는 튼튼한 방패,1790,대지의 정령사
아이템,혼돈의 지팡이,예측할 수 없는 마법 효과를 일으키는 지팡이,2920,혼돈의 차원문
아이템,용의 발톱,드래곤의 발톱으로 만든 강력한 무기,3100,용의 둥지
아이템,영혼의 거울,사용자의 영혼을 비춰 숨겨진 능력을 끌어내는 거울,2680,영혼의 동굴
아이템,불멸의 엘릭서,마시는 이에게 일시적 불멸을 부여하는 물약,5500,연금술사의 비밀 실험실
아이템,그림자 망토,착용자를 그림자 속으로 숨겨주는 망토,2480,암흑의 영역
아이템,천상의 갑옷,천상의 금속으로 만들어져 놀라운 방어력을 지닌 갑옷,4200,천상 대장간
아이템,악마의 계약서,악마와의 계약을 통해 강력한 힘을 얻는 위험한 아이템,6660,지옥의 문
아이템,시간 여행자의 회중시계,과거나 미래로 짧은 시간 여행을 가능케 하는 시계,7500,시간의 틈새
아이템,원소의 보석,모든 원소의 힘을 다룰 수 있게 해주는 보석,4800,원소의 신전
아이템,운명의 실타래,착용자의 운명을 바꿀 수 있는 신비한 실타래,3950,운명의 방
아이템,공간 왜곡의 단검,공간을 왜곡하여 순간이동할 수 있는 단검,3700,차원의 균열
아이템,신의 눈물,모든 상처와 저주를 치유하는 신비한 물방울,8000,천상의 폭포
아이템,혼의 포식자,적의 영혼을 흡수하여 사용자를 강화하는 검,4100,망자의 계곡
아이템,천둥의 망치,번개의 힘을 내뿜는 거대한 망치,3800,폭풍의 신전
아이템,월광석 갑옷,달빛의 힘을 머금어 밤에 특별한 능력을 발휘하는 갑옷,3300,달의 제단
아이템,사막의 물통,마실수록 채워지는 신비한 물통,1200,오아시스 유적
아이템,북극의 눈,착용자에게 혹한 지역에서의 완벽한 적응력을 주는 목걸이,2700,얼음 성채
아이템,불사조의 깃털 펜,쓴 내용이 현실이 되는 마법의 펜,6500,불사조의 둥지
아이템,혼돈의 주사위,던질 때마다 무작위 마법 효과를 일으키는 주사위,3600,혼돈의 도박장
아이템,영원의 모래시계,사용자의 나이를 원하는 대로 조절할 수 있는 모래시계,9000,시간의 신전
아이템,마법 저장 반지,마법을 저장했다가 나중에 사용할 수 있는 반지,3100,마법사의 탑
아이템,진실의 거울,모든 거짓과 환영을 꿰뚫어 보는 거울,4300,진리의 신전
아이템,구름 망토,착용자를 구름처럼 가볍게 만들어 하늘을 날 수 있게 하는 망토,3900,하늘 섬
아이템,지진의 건틀릿,땅을 강타하여 지진을 일으키는 건틀릿,4500,대지의 심장부
아이템,현자의 책,읽을 때마다 새로운 지식을 얻을 수 있는 마법서,5200,고대 도서관
아이템,파멸의 화살,한 번에 성채를 무너뜨릴 수 있는 강력한 화살,7200,운명의 대장간
아이템,영혼의 등불,죽은 자의 영혼과 대화할 수 있게 해주는 등불,2900,유령 마을
아이템,무한의 주머니,어떤 물건이든 넣을 수 있는 공간이 무한한 주머니,6200,차원의 상인
아이템,해왕의 삼지창,바다를 지배하는 힘을 가진 전설의 무기,8500,해저 궁전
아이템,달의 티아라,달의 힘을 빌려 강력한 마법을 사용할 수 있는 티아라,5700,달의 정원
아이템,태양의 방패,태양의 열기로 적을 불태우는 방패,6100,태양 신전
아이템,바람의 휘파람,폭풍을 부르는 신비한 휘파람,4700,하늘의 탑
아이템,얼음의 심장,주변의 모든 것을 얼려버리는 차가운 보석,5900,영원한 겨울의 땅
아이템,숲의 왕관,모든 식물을 조종할 수 있는 왕관,6300,고대 숲의 중심
아이템,미래 예지 안경,미래를 볼 수 있는 특별한 안경,7100,시간의 균열
아이템,용암 서핑보드,용암 위를 자유롭게 이동할 수 있는 서핑보드,4900,화산 폐허
아이템,공중 부양 부츠,착용자를 공중에 띄우는 마법 부츠,5300,공중 도시
아이템,차원 이동 문,어디든 갈 수 있는 휴대용 문,8200,차원 여행사
아이템,무지개 망토,착용자의 모습을 끊임없이 변화시키는 망토,4600,프리즘 동굴
아이템,은신 고글,벽이나 물체를 통과해서 볼 수 있는 고글,3750,스파이 본부
아이템,용언의 팔찌,용의 언어를 이해하고 말할 수 있게 해주는 팔찌,5100,용의 둥지
아이템,지옥의 곡괭이,어떤 물질이든 캐낼 수 있는 전설의 곡괭이,7400,지옥의 광산
아이템,천사의 하프,천상의 음악으로 모든 이를 매혹시키는 하프,6800,천국의 문
아이템,화산의 심장,몸을 용암으로 변화시키는 신비한 보석,6600,화산의 심장부
아이템,얼음 꽃 화관,주변을 얼음 정원으로 만드는 화관,4800,얼음 요정의 정원
아이템,미니어처 블랙홀,모든 것을 빨아들이는 소형 블랙홀,9500,우주의 파편
아이템,기억 교환기,타인과 기억을 교환할 수 있는 장치,5600,망각의 신전
아이템,무한 변신 옷장,어떤 옷이든 꺼낼 수 있는 마법의 옷장,5400,패션 마법사의 아틀리에
아이템,감정 포션 세트,다양한 감정을 느낄 수 있는 포션 모음,3400,연금술사의 비밀 상점
아이템,중력 조절 벨트,중력을 자유자재로 조절할 수 있는 벨트,5800,부유 섬
아이템,꿈의 포식자,타인의 꿈을 빼앗아 현실로 만드는 부적,7300,잠자는 숲
아이템,영원의 모래시계,시간을 조종할 수 있는 신비한 모래시계,8800,시간의 신전
아이템,음유시인의 루트,연주하면 과거의 이야기를 볼 수 있는 악기,4400,음유시인의 주점
아이템,운명의 실,착용자의 운명을 바꿀 수 있는 실,7600,운명의 방적소
아이템,차원의 가위,현실을 잘라내어 이동할 수 있는 가위,6700,차원의 재단사
아이템,영혼의 병,영혼을 담아둘 수 있는 신비한 병,3850,영혼 상인의 가게
아이템,무한 도서관 카드,어떤 책이든 소환할 수 있는 도서관 카드,6400,지식의 신전
아이템,평행 세계 거울,다른 차원의 자신을 볼 수 있는 거울,7700,차원의 틈새
아이템,폭풍 소환 피리,강력한 폭풍을 부르는 피리,5500,폭풍의 봉우리
아이템,용의 비늘 갑옷,용의 비늘로 만들어 거의 뚫을 수 없는 갑옷,8700,드래곤 무덤
아이템,미래 과일 씨앗,미래의 과일을 즉시 재배할 수 있는 씨앗,4000,시간 여행자의 정원
아이템,월광 엘릭서,달빛의 힘을 담은 강력한 치유 물약,3700,달의 우물
아이템,고대어 번역기,모든 고대 언어를 번역할 수 있는 장치,4200,고대 도서관
아이템,차원 주머니,무한한 공간을 가진 휴대용 주머니,6900,차원의 상인
아이템,영원의 촛불,절대 꺼지지 않는 신비한 촛불,2800,시간의 성소
아이템,진실의 눈,모든 거짓과 환영을 간파할 수 있는 의안,6000,진리의 신전
아이템,원소 변환 장갑,원소를 자유자재로 변환할 수 있는 장갑,7900,원소의 도가니
아이템,공간 왜곡 렌즈,공간을 휘게 만들어 거리를 단축시키는 렌즈,7000,차원의 관측소
아이템,영혼의 잉크,영혼으로 쓴 글이 현실이 되는 잉크,8100,저주받은 작가의 서재
아이템,무한 퍼즐 상자,풀 때마다 새로운 모양이 되는 퍼즐 상자,3200,수수께끼 상인
아이템,기억 저장 수정,기억을 저장하고 재생할 수 있는 수정,5150,기억의 동굴
아이템,태양 에너지 충전기,태양 에너지로 모든 마법 도구를 충전하는 장치,4300,태양 신전
아이템,달의 눈물,강력한 회복과 정화의 힘을 가진 물방울,8300,달의 우물
아이템,혼돈의 팔찌,착용자 주변의 현실을 왜곡시키는 팔찌,7200,혼돈의 차원문
아이템,별의 파편,우주의 힘을 담은 신비한 광석,6100,유성 충돌 지점
아이템,환영 방울,현실같은 환영을 만들어내는 방울,3900,환영술사의 탑
아이템,영원의 모래,시간을 조종할 수 있는 신비한 모래,8600,시간의 사막
아이템,운명의 카드 덱,미래를 예측하고 변화시킬 수 있는 타로 카드,7500,운명의 도박장
아이템,불멸의 불꽃,절대 꺼지지 않는 신비한 불꽃,5900,불사조의 둥지
아이템,지진의 북,두드리면 지진을 일으키는 거대한 북,7100,대지의 심장부
아이템,영혼의 거울,사람의 진정한 모습을 비추는 거울,6800,영혼의 미로
아이템,무한의 물통,결코 바닥나지 않는 물을 담은 물통,4100,오아시스 유적
아이템,별빛의 티아라,별의 힘을 빌려 강력한 마법을 사용할 수 있는 티아라,8400,천체의 탑
아이템,폭풍우의 구슬,날씨를 자유자재로 조종할 수 있는 구슬,7300,폭풍의 신전
아이템,미스릴 실,끊어지지 않는 강력한 실,3600,드워프의 비밀 작업실
아이템,용의 피,마시면 일시적으로 용으로 변할 수 있는 물약,9200,드래곤 둥지
아이템,공간 이동 주사위,던진 곳으로 순간이동할 수 있는 주사위,6700,차원 여행사
아이템,월식의 펜던트,어둠의 마법을 강화하는 펜던트,5400,그림자 길드
아이템,생명의 씨앗,어떤 환경에서도 자랄 수 있는 신비한 씨앗,4800,생명의 정원
아이템,불의 꽃,주변을 불태우는 신비한 꽃,3700,화산의 정원
아이템,얼음의 눈물,영구적인 얼음을 만들어내는 눈물 모양의 보석,5600,얼음 여왕의 궁전
아이템,번개의 결정,강력한 번개를 소환할 수 있는 결정,6200,폭풍의 첨탑
아이템,순간 이동 부적,생각한 장소로 순간 이동할 수 있는 부적,8900,차원 마법사의 은신처
아이템,환상의 물감,그린 그림을 현실로 만드는 마법의 물감,7800,꿈의 화실
종류,이름,설명,가격,위치
아이템,양자 얽힘의 반지,멀리 떨어진 사람과 텔레파시로 대화할 수 있는 반지,8200,양자 연구소
아이템,진실의 혀,어떤 언어든 말하고 이해할 수 있게 해주는 혀 모양의 부적,6100,바벨의 도서관
아이템,착각의 안개,주변에 강력한 환각을 일으키는 안개 주머니,5400,환영술사의 동굴
아이템,불멸의 심장,착용자를 불사신으로 만드는 인공 심장,9500,연금술사의 비밀 실험실
아이템,무중력 구슬,주변의 중력을 없애는 신비한 구슬,7100,부유 섬 연구소
아이템,시간 되돌리기 시계,최근 1분을 되돌릴 수 있는 회중시계,8800,시간의 틈새
아이템,영원의 양초,켜져 있는 동안 시간이 흐르지 않는 양초,7600,시간의 소용돌이
아이템,차원 절단 칼,차원 사이를 이동할 수 있는 칼,8700,차원 여행자의 은신처
아이템,기억 삭제 스프레이,원하는 기억을 지울 수 있는 스프레이,6300,망각의 안개 숲
아이템,감정 증폭 거울,감정을 증폭시켜 주변에 영향을 미치는 거울,5900,감정의 미로
아이템,양자 중첩 동전,양면이 동시에 나오는 신비한 동전,4200,슈뢰딩거의 실험실
아이템,무한 에너지 크리스탈,무한한 에너지를 공급하는 크리스탈,9800,고대 문명의 유적
아이템,진실의 펜,거짓말을 쓸 수 없게 만드는 펜,3900,진리의 법정
아이템,평행 세계 지도,다른 차원의 세계를 보여주는 지도,7300,차원 도서관
아이템,영혼 치유 허브,영혼의 상처를 치유하는 신비한 허브,6500,영혼의 정원
아이템,꿈 포식자의 부적,다른 이의 꿈을 빼앗아 현실로 만드는 부적,8100,악몽의 영역
아이템,무한 변신 마스크,어떤 모습으로든 변할 수 있는 마스크,7200,천의 얼굴 신전
아이템,공포 실체화 펜던트,상대방의 가장 큰 공포를 현실로 만드는 펜던트,8400,공포의 미궁
아이템,기억 공유의 반지,착용자들 간에 기억을 공유할 수 있는 반지,6800,정신 연결 사원
아이템,무한 복제 거울,물체를 무한히 복제할 수 있는 거울,9100,복제의 미로
아이템,차원 압축 상자,거대한 공간을 작은 상자에 담을 수 있는 마법 상자,8600,차원의 접합점
아이템,운명 역전의 주사위,던지면 불가능한 일을 가능하게 만드는 주사위,9300,운명의 카지노
아이템,영혼 융합 목걸이,두 영혼을 하나로 융합할 수 있는 목걸이,8900,영혼의 용광로
아이템,무한 미로의 나침반,어떤 미로든 탈출할 수 있게 해주는 나침반,5700,미궁의 중심
아이템,시간 정지 모래시계,주변의 시간을 멈추는 모래시계,9600,시간의 틈새
아이템,현실 왜곡의 프리즘,빛을 굴절시켜 현실을 변화시키는 프리즘,7900,차원의 경계
아이템,평행 우주 열쇠,다른 평행 세계로 이동할 수 있는 열쇠,9700,다중 우주의 관문
아이템,초의식 각성 왕관,착용자의 잠재의식을 끌어올리는 왕관,8500,초월자의 신전
아이템,무한 가능성의 주사위,모든 가능성을 현실로 만들 수 있는 주사위,9900,슈뢰딩거의 상자
아이템,양자 얽힘의 실,서로 다른 현실을 연결하는 신비한 실,8300,양자 재봉사의 작업실
장소,용의 봉우리,드래곤들이 서식하는 위험한 산,해당 없음,북쪽 산맥
장소,엘프의 숲,엘프들의 고향인 신비로운 숲,해당 없음,동쪽 영역
장소,드워프의 광산,귀중한 보석과 금속이 풍부한 깊은 광산,해당 없음,서쪽 언덕
인물,알드릭 왕,정의롭고 현명한 왕국의 통치자,해당 없음,왕궁
인물,현자 멀린,비전 지식으로 유명한 강력한 마법사,해당 없음,마법사의 탑
인물,아이언하트 대장,왕국 경비대의 용감한 지도자,해당 없음,도시 문
이벤트,하지 축제,일년 중 가장 긴 날을 기념하는 연례 행사,해당 없음,마을 광장
이벤트,용사 선발 대회,가장 용감한 전사를 찾는 대회,해당 없음,투기장
퀘스트,잃어버린 왕관,초대 왕의 고대 왕관 되찾기,1000 금화 보상,왕궁에서 시작
퀘스트,어둠의 마법사 물리치기,어둠의 마법사의 사악한 계획 저지하기,500 금화 보상,마법사 길드에서 시작
생물,숲의 정령,숲에 사는 장난꾸러기 자연의 영혼,해당 없음,엘프의 숲
생물,동굴 트롤,산 동굴에 사는 거대하고 난폭한 생물,해당 없음,드워프의 광산
